AutoCtr,Order,OtherOrders,CommonAncestor
1180,Petromyzontiformes,Acanthuriformes,500
1181,Petromyzontiformes,Lophiiformes,500
1182,Petromyzontiformes,Tetraodontiformes,500
1183,Petromyzontiformes,Coelacanthiformes,500
1184,Petromyzontiformes,Ceratodontiformes,500
1185,Heterodontiformes,Myxiniformes,500
1186,Heterodontiformes,Petromyzontiformes,500
1187,Heterodontiformes,Orectolobiformes,170
1188,Heterodontiformes,Lamniformes,155
1189,Heterodontiformes,Carcharhiniformes,155
1190,Heterodontiformes,Hexanchiformes,196
1191,Heterodontiformes,Squaliformes,196
1192,Heterodontiformes,Echinorhiniformes,196
1193,Heterodontiformes,Pristiophoriformes,196
1194,Heterodontiformes,Squatiniformes,196
1195,Heterodontiformes,Rajiformes,281
1196,Heterodontiformes,Torpediniformes,281
1197,Heterodontiformes,Rhinopristiformes,281
1198,Heterodontiformes,Myliobatiformes,281
1199,Heterodontiformes,Chimaeriformes,420
1200,Heterodontiformes,Polypteriformes,457
1201,Heterodontiformes,Acipenseriformes,457
1202,Heterodontiformes,Amiiformes,457
1203,Heterodontiformes,Lepisosteiformes,457
1204,Heterodontiformes,Elopiformes,457
1205,Heterodontiformes,Albuliformes,457
1206,Heterodontiformes,Notacanthiformes,457
1207,Heterodontiformes,Anguilliformes,457
1208,Heterodontiformes,Saccopharyngiformes,457
1209,Heterodontiformes,Hiodontiformes,457
1210,Heterodontiformes,Osteoglossiformes,457
1211,Heterodontiformes,Clupeiformes,457
1212,Heterodontiformes,Alepocephaliformes,457
1213,Heterodontiformes,Gonorynchiformes,457
1214,Heterodontiformes,Cypriniformes,457
1215,Heterodontiformes,Characiformes,457
1216,Heterodontiformes,Gymnotiformes,457
1217,Heterodontiformes,Siluriformes,457
1218,Heterodontiformes,Lepidogalaxiiformes,457
1219,Heterodontiformes,Esociformes,457
1220,Heterodontiformes,Salmoniformes,457
1221,Heterodontiformes,Argentiniformes,457
1222,Heterodontiformes,Galaxiiformes,457
1223,Heterodontiformes,Stomiiformes,457
1224,Heterodontiformes,Osmeriformes,457
1225,Heterodontiformes,Ateleopodiformes,457
1226,Heterodontiformes,Aulopiformes,457
1227,Heterodontiformes,Myctophiformes,457
1228,Heterodontiformes,Polymixiiformes,457
1229,Heterodontiformes,Percopsiformes,457
1230,Heterodontiformes,Zeiformes,457
1231,Heterodontiformes,Stylephoriformes,457
1232,Heterodontiformes,Gadiformes,457
1233,Heterodontiformes,Lampriformes,457
1234,Heterodontiformes,Trachichthyiformes,457
1235,Heterodontiformes,Beryciformes,457
1236,Heterodontiformes,Holocentriformes,457
1237,Heterodontiformes,Ophidiiformes,457
1238,Heterodontiformes,Batrachoidiformes,457
1239,Heterodontiformes,Kurtiformes,457
1240,Heterodontiformes,Gobiiformes,457
1241,Heterodontiformes,Scombriformes,457
1242,Heterodontiformes,Syngnathiformes,457
